level,term,coef,se,p_value,n_obs,n_participants,n_tracks
participant_trial,Intercept,0.2535944751831125,0.03438002921613468,1.628533802293379e-13,2419,206,24
participant_trial,C(emotion_term)[T.sad],-0.796511370241488,0.05124048267346397,1.731757704842435e-54,2419,206,24
participant_trial,C(emotion_term)[T.calm],-0.31383510544097015,0.05157306747116982,1.163083194931607e-09,2419,206,24
participant_trial,C(emotion_term)[T.energetic],0.18264050834232243,0.04344849189296242,2.6269157799363222e-05,2419,206,24
participant_trial,istc_mean_max_unique_per_sec,0.002664504809893227,0.020230948737995632,0.895218111205006,2419,206,24
participant_trial,notedensity_per_s,-0.08353726835502985,0.027756801266037478,0.0026157956205187303,2419,206,24
participant_trial,pitch_mean,0.05860974056350295,0.023054091645139517,0.01101348546048737,2419,206,24
participant_trial,rhythm_tempo_Mean,0.040603092838469586,0.02244006590229085,0.07038862308747797,2419,206,24
participant_trial,dynamics_rms_Mean,-0.0033299534101593124,0.023232543925289374,0.8860284458672425,2419,206,24
participant_trial,simple_brightness_Mean,0.02641750618598864,0.023280587051812258,0.2564826010461755,2419,206,24
participant_trial,stim_name Var,1.0,,,2419,206,24
