target,feature,standardized_beta_within_track,model_r2_within_track,n_complete_bins,n_tracks,abs_beta
istc_mean_max_unique_per_sec,mtb_ioi_cv,0.26185191732016305,0.033960115524336754,9157,24,0.26185191732016305
istc_mean_max_unique_per_sec,cv_midi_ioi,-0.19783516261875791,0.033960115524336754,9157,24,0.19783516261875791
istc_mean_max_unique_per_sec,note_onset_density_per_s,0.14585514080861106,0.033960115524336754,9157,24,0.14585514080861106
istc_mean_max_unique_per_sec,mir_rms,0.09501948273686568,0.033960115524336754,9157,24,0.09501948273686568
istc_mean_max_unique_per_sec,approx_polyphony,0.07556412815265284,0.033960115524336754,9157,24,0.07556412815265284
istc_mean_max_unique_per_sec,onset_strength_mean,-0.03978208262919997,0.033960115524336754,9157,24,0.03978208262919997
istc_mean_max_unique_per_sec,mir_brightness,-0.027601720722655695,0.033960115524336754,9157,24,0.027601720722655695
istc_mean_max_unique_per_sec,mir_roughness,-0.0065832190851804395,0.033960115524336754,9157,24,0.0065832190851804395
max_tap_count_per_100ms_bin,mtb_ioi_cv,0.2784253669875219,0.03529610282498541,9157,24,0.2784253669875219
max_tap_count_per_100ms_bin,cv_midi_ioi,-0.21273119390846773,0.03529610282498541,9157,24,0.21273119390846773
max_tap_count_per_100ms_bin,note_onset_density_per_s,0.14814811452949592,0.03529610282498541,9157,24,0.14814811452949592
max_tap_count_per_100ms_bin,mir_rms,0.10019304543685226,0.03529610282498541,9157,24,0.10019304543685226
max_tap_count_per_100ms_bin,approx_polyphony,0.07459085254005902,0.03529610282498541,9157,24,0.07459085254005902
max_tap_count_per_100ms_bin,onset_strength_mean,-0.04208457240220613,0.03529610282498541,9157,24,0.04208457240220613
max_tap_count_per_100ms_bin,mir_brightness,-0.028380557132517633,0.03529610282498541,9157,24,0.028380557132517633
max_tap_count_per_100ms_bin,mir_roughness,-0.009394661331280524,0.03529610282498541,9157,24,0.009394661331280524
max_unique_participants_per_100ms_bin,mtb_ioi_cv,0.27655471365273027,0.03556620990734305,9157,24,0.27655471365273027
max_unique_participants_per_100ms_bin,cv_midi_ioi,-0.21119886629395626,0.03556620990734305,9157,24,0.21119886629395626
max_unique_participants_per_100ms_bin,note_onset_density_per_s,0.1484429947870654,0.03556620990734305,9157,24,0.1484429947870654
max_unique_participants_per_100ms_bin,mir_rms,0.10205073852261834,0.03556620990734305,9157,24,0.10205073852261834
max_unique_participants_per_100ms_bin,approx_polyphony,0.07505725477375591,0.03556620990734305,9157,24,0.07505725477375591
max_unique_participants_per_100ms_bin,onset_strength_mean,-0.043182509288073274,0.03556620990734305,9157,24,0.043182509288073274
max_unique_participants_per_100ms_bin,mir_brightness,-0.0286891048756486,0.03556620990734305,9157,24,0.0286891048756486
max_unique_participants_per_100ms_bin,mir_roughness,-0.00955231749193313,0.03556620990734305,9157,24,0.00955231749193313
tap_count_mean_max_per_sec,mtb_ioi_cv,0.26351604160446623,0.033766426389671644,9157,24,0.26351604160446623
tap_count_mean_max_per_sec,cv_midi_ioi,-0.1991891894975343,0.033766426389671644,9157,24,0.1991891894975343
tap_count_mean_max_per_sec,note_onset_density_per_s,0.14575933834786578,0.033766426389671644,9157,24,0.14575933834786578
tap_count_mean_max_per_sec,mir_rms,0.09333211328614524,0.033766426389671644,9157,24,0.09333211328614524
tap_count_mean_max_per_sec,approx_polyphony,0.07513087989125126,0.033766426389671644,9157,24,0.07513087989125126
tap_count_mean_max_per_sec,onset_strength_mean,-0.038758856224695964,0.033766426389671644,9157,24,0.038758856224695964
tap_count_mean_max_per_sec,mir_brightness,-0.027461187335109764,0.033766426389671644,9157,24,0.027461187335109764
tap_count_mean_max_per_sec,mir_roughness,-0.006471006403160067,0.033766426389671644,9157,24,0.006471006403160067
