wtc_code,n_performances,stim_names,beta_lists,beta_perf_values,median_istc,median_consensus_tempo_bpm,tempo_range_bpm
wtc1f03,2,track8|track9,3|3,-0.6684|-0.6237,6.952878247580234,128.56904324595064,44.74870596092828
wtc1f05,2,track16|track21,3|3,-0.5387|-0.539,6.217609398719556,113.34745762711907,23.305084745763494
wtc1p03,4,track10|track15|track19|track23,3|2|2|3,-1.2481|-1.0295|-1.3369|-1.1204,6.752380952380952,98.0915521153077,25.788625374168248
wtc1p04,2,track12|track6,2|2,-0.3545|-0.2648,4.975570166426957,100.173913043478,8.347826086956005
wtc1p15,4,track1|track11|track13|track2,2|3|2|3,-0.2186|-0.2187|-0.417|-0.3972,5.752497225305216,171.42857142857073,34.615384615385494
wtc1p17,2,track14|track24,1|1,-0.9336|-1.0328,7.298078633695072,114.45181215369217,8.720138068852918
wtc2f06,2,track3|track4,1|1,-1.0934|-0.9994,7.228042830035239,113.49103429772379,2.6830031748853997
wtc2f07,2,track17|track22,2|2,-0.7004|-0.8852,6.513070077864294,124.18032786885277,51.63934426229552
wtc2p01,2,track18|track5,1|1,-0.2781|-0.3205,6.404920692141312,113.247863247863,4.273504273503406
wtc2p24,2,track20|track7,1|1,-0.44|-0.5012,7.425348477026329,123.92206962631712,10.220376876396145
