stim_name,wtc_code,istc_mean_max_unique_per_sec,rhythm_tempo_Mean,notedensity_per_s,dynamics_rms_Mean,simple_brightness_Mean,pitch_mean,duration_mean_s,emotion_calm,emotion_energetic,emotion_happy,emotion_sad,n_performances_this_piece
track8,wtc1f03,6.846153846153846,120.307988103436,11.4582677821653,0.923512351659645,0.111241589134918,63.337752965806,0.153984756629448,2.5775335796882963,2.998913570342142,2.8429019226891565,1.9145585829371596,2
track9,wtc1f03,7.059602649006623,157.440181166384,9.90319877481434,0.885511928871455,0.148399124631772,63.3170048985304,0.191172439934688,2.5456398436264207,2.97591723539645,3.2217122793800823,1.791958041958042,2
track16,wtc1f05,6.81651376146789,110.896623975831,7.68802487132191,0.900910935379022,0.111799507208478,62.7824967824968,0.259724568318316,2.4963463843921643,3.067456352371145,2.9141052961805207,1.995306784179308,2
track21,wtc1f05,5.618705035971223,118.871133629973,6.09572676982294,0.827858830694277,0.169801432700266,62.2900378310214,0.391317255149215,2.9724370693292084,2.825466667905026,2.5747469275010344,2.345656390274346,2
track10,wtc1p03,7.234567901234568,128.566976866947,10.2802344166223,0.867917303007644,0.138903115949354,65.8708074534161,0.132920548654243,2.4267670317942223,3.5663343005783568,3.354099661564609,1.9616662793399953,4
track15,wtc1p03,6.533333333333333,130.034820779388,11.7247477610248,0.868303445803126,0.156917047425785,65.8479604449938,0.118850110733416,1.986925287356322,3.750861293527442,3.1567049808429117,1.559131545338442,4
track19,wtc1p03,6.9714285714285715,129.443266731726,12.2710491842324,0.932958323829663,0.122679996061697,65.8461538461538,0.0873995166459888,1.9573274717982747,3.836824470951852,3.248042565706799,1.4739471178269608,4
track23,wtc1p03,6.108108108108108,128.465824056335,11.6573229764719,0.918447017505214,0.0987102797719146,65.8382716049383,0.107526363168724,2.0652730375426622,3.3526734926052333,3.3663066729786726,1.5415102711543471,4
track12,wtc1p04,5.286624203821656,127.925555008647,4.3486177417564,0.91623045702365,0.116633622922048,63.6295180722892,0.94639103288153,3.4040094880070826,2.1727979197738656,2.2358981871631554,3.140661275751901,2
track6,wtc1p04,4.664516129032258,111.62025477803,4.8276198779425,0.873671516520163,0.116038633746626,63.7742382271468,0.6090662511542,3.191805747270674,2.202717763319382,2.3843920712181563,2.545718793059261,2
track1,wtc1p15,5.622641509433962,148.514903024648,12.5624541477597,0.871966536041874,0.193816587729097,62.6384742951907,0.102827874516307,1.903574879227053,3.8236340324739255,3.408398364920104,1.5101736277008015,4
track11,wtc1p15,5.568627450980392,150.487594915309,13.0615153370817,0.909171933973928,0.135362059647791,62.7042483660131,0.100896565223312,2.0775510204081633,3.4754616132167153,2.8126530612244895,1.6756279434850865,4
track13,wtc1p15,5.882352941176471,153.967382126685,13.0264532434709,0.909304177795278,0.119025455393373,62.6595041322314,0.0978176652892565,1.7574129353233832,3.934871099050204,2.897910447761194,1.5977803291236126,4
track2,wtc1p15,6.607843137254902,130.667587735916,13.5333133045227,0.855857702101979,0.251281672351986,62.6824877250409,0.0852103791598473,1.4436589661245207,3.891631664202368,3.576337368215541,1.410386567746974,4
track14,wtc1p17,7.726027397260274,113.846084341664,10.2490566037736,0.867739341842776,0.214418024478562,62.3029411764706,0.151901424632353,1.9597153024911032,3.1344225169847943,3.4903221032328338,1.3093449321207329,2
track24,wtc1p17,6.87012987012987,113.100983541648,9.34767545212138,0.893241188017094,0.153547895470363,62.3779761904762,0.124236576140873,2.4989778844994133,3.0049499966607955,2.9088099328716415,1.6244660654959655,2
track3,wtc2f06,8.14516129032258,121.728712722755,6.90616351294095,0.870161955501223,0.133373697745795,61.811013767209,0.320590842720066,2.6652067004764097,2.6926396631594014,2.415062161363803,2.4814046411556783,2
track4,wtc2f06,6.310924369747899,123.883915101728,7.16077664478289,0.877429340471768,0.13921928674826,61.8129675810474,0.356827982128008,2.8318204211812854,2.6189437332615744,2.297791549504218,2.6259946949602124,2
track17,wtc2f07,6.155172413793103,132.744514994658,6.32840041654336,0.853485756679423,0.141491615004114,62.5817655571635,0.462397491558121,3.020803517913716,2.437003488298471,2.4434271411215795,2.6885815946951315,2
track22,wtc2f07,6.870967741935484,129.13666805186,8.18259525325088,0.887622808979865,0.12709248841586,62.6107954545455,0.28222841205019,3.055614745365438,2.3518085319669533,2.3535052205412317,1.8518005540166205,2
track18,wtc2p01,6.8493150684931505,108.418812884376,5.95376540222614,0.888473141589252,0.241899179416088,61.8776978417266,0.557953637090327,2.970421416234887,2.6341139461900167,2.7661840209439936,2.21039970392302,2
track5,wtc2p01,5.9605263157894735,104.113011808584,5.59212796979665,0.865894219601511,0.283303717699768,61.9142512077295,0.704190569645732,2.769542992098227,2.544090562884142,2.462835091579754,2.5959446846507346,2
track20,wtc2p24,8.092307692307692,117.337631892261,6.90321122593636,0.924875317629147,0.10723986271948,62.4235159817352,0.259719546708524,2.562212172246384,2.9393523152671306,2.6545338441890163,2.1114277097695044,2
track7,wtc2p24,6.758389261744966,110.069228018644,6.23098170414872,0.885673105596779,0.178181070618082,62.665544332211,0.349770856715301,3.0104110391480132,2.80210002140705,2.6570525869407664,2.284535062033198,2
